serial	id	type	title	body	signature_threshold	signature_count	signatures_needed	url	deadline	status	created	day1	day2	day3	day4	day5	day6	day7	day8	day9	day10	day11	day12	day13	day14	day15	day16	day17	day18	day19	day20	day21	day22	day23	day24	day25	day26	day27	day28	day29	day30	day31	day32	day33	day34	day35	day36	day37	day38	day39	day40	day41	day42	day43	day44	day45	day46	day47	day48	day49	day50	day51	day52	day53	day54	day55	day56	day57	day58	day59	day60	numpeaks	total
51	4e7b4cb911fb9cf478000005	petition	"ban the sale, trade, and possession of shark and shark products, including shark fin."	"One third of all shark species are threatened or near threatened with extinction.To reverse this trend, the USA must be a leader in protecting these important predators.The Administration has championed international agreements and signed the Shark Conservation Act, but this only mandates how a shark is killed, not how many.  On average, the USA lands 30,000 tons of shark per year. Palau, Maldives, Honduras, Bahamas, and Tokelau have declared national shark sanctuaries, banning the commercial fishing of sharks in their waters and ending the shark trade. Domestically, laws have been passed banning the sale, trade, and possession of shark in Hawaii, Washington, Oregon, California, and the territories of Guam and Northern Marianas.  The USA should implement a national shark and shark fin ban."	5000	6497	0	https://petitions.whitehouse.gov/petition/ban-sale-trade-and-possession-shark-and-shark-products-including-shark-fin	30	Reviewed	1316703445	376	946	552	232	202	271	230	139	121	75	56	60	59	28	33	40	34	31	39	25	34	62	92	35	16	176	609	561	144	69	37	64	30	19	47	15	33	45	24	36	25	5	12	19	8	9	12	14	5	7	4	4	1	10	7	31	12	22	21	12	2	5937
56	4e7b4d56cf436ad904000003	petition	grant clemency to Native American activist Leonard Peltier without delay.	"10th Circuit Court of Appeals: ""‰Û_Much of the government‰Ûªs behavior... and its prosecution of Leonard Peltier is to be condemned. The government withheld evidence. It intimidated witnesses. These facts are not disputed.""    While others were acquitted on grounds of self defense, Peltier was convicted in connection with the 1975 shooting deaths of two FBI agents.  Evidence shows that prosecutors knowingly presented false statements to a Canadian court to extradite Peltier and manufactured the murder weapon (the gun and shell casings entered into evidence didn't match; this fact was hidden from the jury). The number of constitutional violations in this case is simply staggering.  It's time to right this wrong. Mr. President, you can and must free Leonard Peltier."	5000	5633	0	https://petitions.whitehouse.gov/petition/grant-clemency-native-american-activist-leonard-peltier-without-delay	30	Reviewed	1316706560	925	593	415	258	198	269	151	131	93	63	64	139	92	288	113	78	53	132	141	212	186	270	207	49	34	54	30	33	72	77	31	8	7	7	20	8	2	9	10	10	14	5	7	6	5	5	11	15	3	6	2	8	1	2	4	4	3	0	0	0	2	5633
61	4e7b4d642ee8d0a005000001	petition	Call an Investigation into Allegations of Prosecutorial & Judicial Misconduct in the Case of Sholom Rubashkin	"Dear President Obama,  We, your undersigned Americans, knowing you to be committed to fairness and justice, hereby Petition that you direct your Attorney General:  (1) To take prompt and effective steps to correct the gross injustice that has been perpetrated with the federal prosecution of Sholom Rubashkin.  (2) To initiate an investigation into this case as has been requested by 47 Members of the House of Representatives, who have separately and independently written to Attorney General Eric Holder about the prosecution of Sholom Rubashkin.  (3) To respond to the demand made by 75 law professors and former U.S. Attorneys (including three former Deputy Attorneys General) to investigate prosecutorial misconduct in the case of United States vs. Sholom Rubashkin.  www.justiceforsholom.org"	5000	52819	0	https://petitions.whitehouse.gov/petition/call-investigation-allegations-prosecutorial-judicial-misconduct-case-sholom-rubashkin	30	Reviewed	1316703633	10894	2601	2313	2197	1595	1894	368	32	18	345	705	2025	1468	3570	1738	314	260	671	1286	1136	184	40	16	379	1410	3157	6130	4055	129	38	866	388	213	106	185	71	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	52819
66	4e7b4da8709f03747a000009	petition	Give Good Friday commemorative status in the USA.	"The Good Friday National Holiday Campaign, Inc., seeks to establish Good Friday as a commemorative day in the United States of America. To date, it is a national holiday in over 135 countries, in the United States of America it is a State Holiday in 11 States, and 3 US Territories.  We the undersigned seek to enshrine Good Friday as a Federal holiday under Title V of the United States Code (5 U.S.C, å_ 6103) due to its long standing tradition in American culture and history."	5000	564	4436	https://petitions.whitehouse.gov/petition/give-good-friday-commemorative-status-usa	30	Closed	1316704876	3	1	20	10	4	6	7	3	1	3	15	14	4	0	1	1	1	5	8	27	44	47	31	10	16	29	50	142	47	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	564
71	4e7b4e1a11fb9c3e7a000010	petition	"Light The White House Blue on Men's Health Night, November 21, to raise Prostate and Testicular cancer awareness."	"Prostate and Testicular Cancer affects the lives of millions of Americans.  Whether by diagnosis, treatment costs, lost work and family hours and, even death, prostate and testicular cancer cause pain throughout our nation, every minute of every day.  Mr. President, please light the White House blue to honor the more than 340,000 American men who have died from prostate and testicular cancer in the past decade; for the more than 228,000 new cases that will be diagnosed this year; for African-American men who are 60 percent more likely to be diagnosed with prostate cancer and 2.4 times more likely to die from it and for the nearly 2.5 million American men and their families who are currently challenged by these cancers."	5000	670	4330	https://petitions.whitehouse.gov/petition/light-white-house-blue-mens-health-night-november-21-raise-prostate-and-testicular-cancer	30	Closed	1316705420	28	60	23	27	163	93	79	28	16	12	17	19	8	5	8	1	4	7	7	3	11	11	4	2	3	3	8	6	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	670
76	4e7b5032ec309e6276000013	petition	INVESTIGATION FOR FULL DISCLOSURE OF WHERE AND WHEN AGENT ORANGE HERBICIDES WERE USED OUTSIDE OF VIETNAM TO INCLUDE GUAM	"this petition is for a full investigation into all of the locations where agent orange herbicides were used and when they were used. Because of destroyed military records for routine base maintenance, any documentation was lost. Because of the importance of this issue affecting veterans and their families plus future generations of Americans, this petition should be given the highest priority within the Whitehouse staff. This petition can coincide with Senator Gillibrand's investigation into Agent Orange herbicide use and HR2634 VICTIMS OF AGENT ORANGE. "	5000	743	4257	https://petitions.whitehouse.gov/petition/investigation-full-disclosure-where-and-when-agent-orange-herbicides-were-used-outside	30	Closed	1316704530	53	11	11	5	14	9	6	4	2	9	14	113	122	56	32	31	23	39	31	19	19	16	15	12	4	15	12	10	21	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	743
81	4e7b6372b25636f47800000f	petition	Repeal the Patriot Act	"We, the undersigned, hereby declare that anti-terrorism legislation passed by our US Congress since the tragic September 11, 2001 attacks on our nation, seriously damage and infringe upon the constitutional protections that are enshrined in our Bill of Rights.  We declare that it is not patriotic, but rather Un-American to destroy the very freedoms which cause Americans to love their country. We oppose the ‰ÛÏsneak and peek‰Ûù provision of the PATRIOT Act, which infringes our 4th amendment protections against unreasonable search and seizure by denying citizens their right to be aware that their property is to be searched and their right to protest such search. We oppose the PATRIOT Act‰Ûªs destruction of e-mail and Internet privacy.   ""Those who sacrifice liberty for security deserve neither"""	5000	22718	0	https://petitions.whitehouse.gov/petition/repeal-patriot-act	30	Reviewed	1316709509	119	4021	2325	967	665	765	480	340	326	219	179	186	259	189	134	105	73	168	138	111	141	91	88	60	52	265	256	227	344	334	90	68	61	66	206	109	105	215	156	321	350	107	125	109	55	61	306	208	74	48	17	24	48	31	71	170	66	134	81	45	1	17154
86	4e7b63768d8c376606000005	petition	Stop Interfering With State Marijuana Legalization Efforts	"The ‰ÛÏwar on drugs‰Ûù has yielded predictable suffering and waste, as the prohibition of widely desired substances has never generated positive results - except for the cartels and gangs who control the illegal market. Marijuana prohibition in particular is a colossal waste of resources that could be put to better use. Taking a noncriminal, regulatory approach to marijuana would enable states to pass their own laws, regulations and taxes to control marijuana and would end the Justice Department's intimidation tactics in medical marijuana states. One or more states will likely legalize adult use of marijuana in 2012, and the Obama administration should stop wasting scarce federal resources and uphold the president‰Ûªs campaign pledge to respect states‰Ûª rights when it comes to marijuana."	5000	17054	0	https://petitions.whitehouse.gov/petition/stop-interfering-state-marijuana-legalization-efforts	30	Reviewed	1316709859	4713	2780	1539	1043	764	609	431	347	312	195	152	291	236	268	212	133	96	198	130	93	119	137	178	79	64	369	279	212	267	267	115	60	76	60	158	66	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17054
91	4e7b6695b25636dc79000011	petition	"End the destructive, wasteful and counterproductive ""War on Drugs"""	"In order to resolve a wealth of inequities, we the people do entreat the white house to dismantle or redirect law enforcement agencies, and the approximately $400 BILLION dollars per year spent on the ""War on Drugs"".  The U.S. represents 5% of world population, but imprisons 25% of all the worlds inmates.  It is not the U.S. people who are excessively criminal.  It is overzealous policy that destroys the future of America's youth at great expense to the taxpayer.  Where would you be, Mr. President, had you been convicted and imprisoned because of your admitted Marijuana usage?  What great future leaders, thinkers and innovators are being destroyed today because of this useless policy?  Drug use is a social issue, and should be addressed by health care professionals, not the prison system."	5000	30018	0	https://petitions.whitehouse.gov/petition/end-destructive-wasteful-and-counterproductive-war-drugs	30	Reviewed	1316724845	628	5735	2013	1202	962	843	550	481	343	220	269	328	479	363	309	191	155	338	167	155	154	191	135	78	134	314	274	341	305	265	103	77	62	100	230	42	258	346	272	565	334	132	175	110	79	187	410	226	98	68	39	39	56	64	160	255	133	180	88	91	1	22901
96	4e7b6832ec309e607600000c	petition	"Help Families Avoid Foreclosure, Stabilize the Housing Market, and Boost the Economy: Adopt the Principal Paydown Plan"	"Experts agree that in order for the economy to recover, the housing market first must be stabilized by preventing avoidable foreclosures.  While there is no single solution to the foreclosure crisis, one promising approach is the Principal Paydown Plan, which would provide immediate relief for qualified homeowners in bankruptcy who find themselves underwater on their mortgages. By reducing the interest rate on mortgages to 0% for 5 years, monthly payments would be lowered and every dollar applied to the principal.  This Plan would provide help for many American families trying to stay in their homes, stabilize communities, and bolster the housing market and economy as a whole.  Developed by the National Association of Consumer Bankruptcy Attorneys, the plan is ready for immediate adoption."	5000	3137	1863	https://petitions.whitehouse.gov/petition/help-families-avoid-foreclosure-stabilize-housing-market-and-boost-economy-adopt-principal	30	Closed	1316726499	566	615	312	211	327	224	122	100	67	46	35	51	32	27	13	12	17	25	19	51	65	28	19	16	21	21	28	13	34	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3137
101	4e7b6fe58d8c37be12000004	petition	"Extend unemployment benefits past 99 weeks for ALL long-term unemployed Americans - for the 99ers and ANY ""exhaustee""."	"Very soon an estimated 10 million Americans and their families will have exhausted all 99 weeks of their unemployment insurance benefits (or whatever their State's maximum qualifying weeks were). Please extend these benefits past 99 weeks for ALL long-term unemployed Americans, especially for the ‰ÛÏ99ers‰Ûù and any ""exhaustee"", until there are enough jobs available. Because of age or physical imitations, many can not be expected to pick up a shovel. Many have already been without any income at all for a year or longer and barely subsist on food stamps. The 99ers and ‰ÛÏexhaustees‰Ûù can no longer wait for 14 million jobs to gradually come online over a protracted period of time. We've waited as long as we could. http://bud-meyers.blogspot.com/2011/09/official-white-house-petition-for-99ers.html "	5000	1866	3134	https://petitions.whitehouse.gov/petition/extend-unemployment-benefits-past-99-weeks-all-long-term-unemployed-americans-99ers-and-any	30	Closed	1316714322	55	41	30	95	350	300	198	121	95	54	49	52	39	29	24	13	23	51	43	33	24	24	12	14	10	19	22	16	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1866
106	4e7b70294bd5044b0c00000f	petition	formally acknowledge an extraterrestrial presence engaging the human race - Disclosure.	"Disclosure Petition - Paradigm Research Group ""We, the undersigned, strongly urge the President of the United States to formally acknowledge an extraterrestrial presence engaging the human race and immediately release into the public domain all files from all agencies and military services relevant to this phenomenon."" ___ Hundreds of military and government agency witnesses have come forward with testimony confirming this extraterrestrial presence.   Opinion polls now indicate more than 50% of the American people believe there is an extraterrestrial presence and more than 80% believe the government is not telling the truth about this phenomenon.  The people have a right to know. The people can handle the truth. Relevant Websites: www.disclosurepetition.info,  www.paradigmresearchgroup.org"	5000	12092	0	https://petitions.whitehouse.gov/petition/formally-acknowledge-extraterrestrial-presence-engaging-human-race-disclosure	30	Reviewed	1316714274	2147	1257	863	834	357	376	290	184	179	132	363	261	362	369	397	325	240	282	225	122	130	191	160	130	120	166	212	158	146	159	67	82	137	104	108	39	52	84	64	75	63	29	38	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12092
111	4e7b706011fb9cce0b00000a	petition	Stop Supporting Dictator and State-Terrorist Meles Zenawi of Ethiopia.	"Throughout the Arab Spring, the Obama adm. has taken the side of protesting innocent civilians.Yet, US foreign policy has turned a blind eye to one of the most brutal dictators in the world: Meles Zenawi. Through the use of state-terrorism,torture,rape, and murder against the peoples within Ethiopia (Oromo, Sidama, Amhara, Ogaden-Somalis, Annuak, and others), Zenawi has held a cruel grip to the rule of Ethiopia for over 20 years now. Recently,BBC revealed the reality of Zenawi‰Ûªs regime by exposing the use of billions of dollars of aid as a ‰ÛÏweapon of oppression‰Ûù, torture, and massive human rights violations:http://news.bbc.co.uk/2/hi/programmes/newsnight/9556288.stm Why are US tax dollars and foreign policy supporting one of the most unstable, terroristic regimes in the world? Please sign!"	5000	2757	2243	https://petitions.whitehouse.gov/petition/stop-supporting-dictator-and-state-terrorist-meles-zenawi-ethiopia	30	Closed	1316713258	71	127	327	111	67	69	57	31	52	64	166	121	185	112	92	77	95	72	38	26	43	46	73	88	84	71	76	81	102	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2757
116	4e7b71fab256360b1800000c	petition	Eliminate or Reform Departments whose Officers are Required by Law to Lie to the American People.	"In a time of astronomical deficits, departments that are required by law to LIE to the American public should be reformed or eliminated.  The director of the Office of National Drug Control Policy (ONDCP), aka ""The Drug Czar,"" is one such position.  See Title VII Office of National Drug Control Policy Reauthorization Act of 1998: H11225 (http://www.whitehouse.gov/ondcp/reauthorization-act).  In summary, this act requires the Drug Czar to effectively lie to preserve current drug policy, regardless of science or proof of medical efficacy of a Schedule I substance.  For detailed information and analysis, use your favorite search engine, or check out the following organizations and sites:  Drug WarRant LEAP DPA NORML http://www.drugwarrant.com/articles/drug-czar-required/  Sincerest Thanks."	5000	1770	3230	https://petitions.whitehouse.gov/petition/eliminate-or-reform-departments-whose-officers-are-required-law-lie-american-people	30	Closed	1316715536	28	27	41	13	10	4	5	13	268	111	100	79	106	130	91	33	29	50	37	28	32	21	111	35	19	30	32	19	132	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1770
121	4e7b74204bd504ea0c000011	petition	Repeal any and all laws pertaining to the illegalization of the Cannabis plant and all of its uses.	"åÊåÊWe the People of The United States of America, being of sound mind and sharing a unified spirit of commonsense and a strive for the betterment of the decisions the leaders of our country make, set forth a petition to you, The Government of The United States of America, asking for a repeal of any and all laws regarding Cannabis in any form and/or any materials, tools, devices, or utensils needed in the use or production of said plant.  We believe you are needlessly wasting billions of dollars incarcerating otherwise law abiding citizens for a crime in wich there is no victim, thereby placing them in harms way.  We believe that the major crime and violence are a direct result of illegalization  We believe it is scientifically proven less harmful than any drug approved by the FDA."	5000	6650	0	https://petitions.whitehouse.gov/petition/repeal-any-and-all-laws-pertaining-illegalization-cannabis-plant-and-all-its-uses	30	Reviewed	1316714482	66	39	24	670	913	867	538	385	334	243	182	193	224	200	195	106	98	105	101	75	80	91	51	46	36	151	99	108	109	102	50	32	32	25	69	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6650
126	4e7b7bd5cf436ae672000018	petition	PUBLICLY press Japan for the return of Abducted US Children and provide transparent dialogs with Japan on this issue	"Hundreds, if not thousands, of US Citizen Children have been abducted to, or retained in, the country of Japan.   Japan has never returned a single child, has no legal concept of ""joint-custody"", no enforcement of visitation, no requirement for rules of evidence on claims of DV.  The US Congress, in HR1326, has publicly condemned Japan and demanded the immediate return of this children.  However, the Executive Branch has only held back-room discussions.  Additionally, there are persuasive claims the DoS is significantly downplaying the number of actual cases.  There needs to be complete transparency into this process, and public condemnation of Japan.  These are our country's children.  We the people deserve to know if they are being traded for bases or other government goals."	5000	1614	3386	https://petitions.whitehouse.gov/petition/publicly-press-japan-return-abducted-us-children-and-provide-transparent-dialogs-japan	30	Closed	1316716302	92	128	263	124	83	71	70	67	51	58	35	40	34	32	38	19	10	23	26	22	57	52	30	23	41	51	35	13	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1614
131	4e7b817d4bd504e006000018	petition	Allow Industrial Hemp to be Grown in the U.S. Once Again	"Lost opportunities for farmers and businesses have real consequences. With over $419 million in estimated U.S. retail sales, American companies making hemp products have no choice but to import their raw materials because American farmers continue to fear they will be prosecuted due to an outdated federal policy which confuses non-drug industrial hemp with drug varieties of Cannabis.  Sustainable hemp seed, fiber and oil are already used in nutritious food, textiles, body care and even auto-parts. Many American companies are using imported hemp in their products today.  We urge you to allow U.S. farmers to follow in the footsteps of George Washington, Thomas Jefferson and John Adams, all who were hemp farmers, and once again grow this sustainable and profitable non-drug crop."	5000	28888	0	https://petitions.whitehouse.gov/petition/allow-industrial-hemp-be-grown-us-once-again	30	Reviewed	1316717143	4812	3487	1754	1309	894	802	618	484	383	330	267	270	415	326	280	175	148	256	170	141	145	129	175	98	141	379	350	377	340	329	141	105	96	70	209	42	166	256	200	348	290	101	127	89	52	95	261	198	95	50	36	33	44	48	96	198	80	143	75	73	1	23601
